1.Dark.Voltage_V,1.Dark.J_A,2.Illumination.Voltage_V,2.Illumination.J_A
-1.68,-1.44E-06,-1.68,-6.03E-06
-1.707,-1.49E-06,-1.707,-6.04E-06
-1.733,-1.54E-06,-1.733,-6.04E-06
-1.76,-1.58E-06,-1.76,-6.13E-06
-1.787,-1.63E-06,-1.787,-6.22E-06
-1.813,-1.68E-06,-1.813,-6.32E-06
-1.84,-1.73E-06,-1.84,-6.50E-06
-1.867,-1.78E-06,-1.867,-6.68E-06
-1.893,-1.83E-06,-1.893,-6.78E-06
-1.92,-1.87E-06,-1.92,-6.80E-06
-1.947,-1.92E-06,-1.947,-6.91E-06
-1.973,-1.97E-06,-1.973,-7.04E-06
-2,-2.02E-06,-2,-7.13E-06
-2.027,-2.07E-06,-2.027,-7.22E-06
-2.053,-2.12E-06,-2.053,-7.31E-06
-2.08,-2.17E-06,-2.08,-7.40E-06
-2.107,-2.22E-06,-2.107,-7.49E-06
-2.133,-2.26E-06,-2.133,-7.50E-06
-2.16,-2.31E-06,-2.16,-7.63E-06
-2.187,-2.36E-06,-2.187,-7.70E-06
-2.213,-2.41E-06,-2.213,-7.79E-06
-2.24,-2.46E-06,-2.24,-7.90E-06
-2.267,-2.51E-06,-2.267,-7.94E-06
-2.293,-2.56E-06,-2.293,-8.11E-06
-2.32,-2.61E-06,-2.32,-8.20E-06
-2.347,-2.67E-06,-2.347,-8.38E-06
-2.373,-2.71E-06,-2.373,-8.48E-06
-2.4,-2.77E-06,-2.4,-8.50E-06
-2.427,-2.82E-06,-2.427,-8.56E-06
-2.453,-2.87E-06,-2.453,-8.64E-06
-2.48,-2.92E-06,-2.48,-8.77E-06
-2.507,-2.98E-06,-2.507,-8.92E-06
-2.533,-3.03E-06,-2.533,-9.02E-06
-2.56,-3.08E-06,-2.56,-9.20E-06
-2.587,-3.13E-06,-2.587,-9.43E-06
-2.613,-3.19E-06,-2.613,-9.47E-06
-2.64,-3.24E-06,-2.64,-9.50E-06
-2.667,-3.30E-06,-2.667,-9.51E-06
-2.693,-3.35E-06,-2.693,-9.69E-06
-2.72,-3.41E-06,-2.72,-9.83E-06
-2.747,-3.46E-06,-2.747,-9.94E-06
-2.773,-3.52E-06,-2.773,-1.01E-05
-2.8,-3.57E-06,-2.8,-1.02E-05
-2.827,-3.63E-06,-2.827,-1.04E-05
-2.853,-3.68E-06,-2.853,-1.05E-05
-2.88,-3.74E-06,-2.88,-1.06E-05
-2.907,-3.80E-06,-2.907,-1.08E-05
-2.933,-3.85E-06,-2.933,-1.08E-05
-2.96,-3.91E-06,-2.96,-1.10E-05
-2.987,-3.97E-06,-2.987,-1.12E-05
-3.013,-4.03E-06,-3.013,-1.14E-05
-3.04,-4.09E-06,-3.04,-1.15E-05
-3.067,-4.15E-06,-3.067,-1.15E-05
-3.093,-4.21E-06,-3.093,-1.15E-05
-3.12,-4.27E-06,-3.12,-1.17E-05
-3.147,-4.33E-06,-3.147,-1.19E-05
-3.173,-4.39E-06,-3.173,-1.21E-05
-3.2,-4.45E-06,-3.2,-1.23E-05
-3.227,-4.52E-06,-3.227,-1.24E-05
-3.253,-4.58E-06,-3.253,-1.25E-05
-3.28,-4.64E-06,-3.28,-1.27E-05
-3.307,-4.71E-06,-3.307,-1.28E-05
-3.333,-4.77E-06,-3.333,-1.29E-05
-3.36,-4.83E-06,-3.36,-1.31E-05
-3.387,-4.90E-06,-3.387,-1.33E-05
-3.413,-4.96E-06,-3.413,-1.34E-05
-3.44,-5.03E-06,-3.44,-1.35E-05
-3.467,-5.10E-06,-3.467,-1.37E-05
-3.493,-5.16E-06,-3.493,-1.39E-05
-3.52,-5.23E-06,-3.52,-1.40E-05
-3.547,-5.30E-06,-3.547,-1.41E-05
-3.573,-5.36E-06,-3.573,-1.43E-05
-3.6,-5.43E-06,-3.6,-1.45E-05
-3.627,-5.50E-06,-3.627,-1.48E-05
-3.653,-5.57E-06,-3.653,-1.49E-05
-3.68,-5.64E-06,-3.68,-1.51E-05
-3.707,-5.71E-06,-3.707,-1.53E-05
-3.733,-5.78E-06,-3.733,-1.55E-05
-3.76,-5.86E-06,-3.76,-1.55E-05
-3.787,-5.93E-06,-3.787,-1.57E-05
-3.813,-6.00E-06,-3.813,-1.59E-05
-3.84,-6.08E-06,-3.84,-1.60E-05
-3.867,-6.15E-06,-3.867,-1.62E-05
-3.893,-6.22E-06,-3.893,-1.65E-05
-3.92,-6.30E-06,-3.92,-1.68E-05
-3.947,-6.38E-06,-3.947,-1.70E-05
-3.973,-6.45E-06,-3.973,-1.71E-05
-4,-6.52E-06,-4,-1.75E-05
