Fig.2c.fw.Voltage (V),Fig.2c.fw.J (mA/cm2),Fig.2c.rv.Voltage (V),Fig.2c.rv.J (mA/cm2),Fig.3b.Planar.Voltage (V),Fig.3b.Planar.J (mA/cm),Fig.3b.Nano.Voltage (V),Fig.3b.Nano.J (mA/cm),Fig.3b.Micro.Voltage (V),Fig.3b.Micro.J (mA/cm)
0.43,-20.176,0.57,-20.184,1.27,16.29198,1.27,16.92921,1.27,17.34213
0.44,-20.1646,0.56,-20.178,1.26,16.30937,1.26,16.94564,1.26,17.35608
0.45,-20.1584,0.55,-20.1824,1.25,16.33579,1.25,16.96303,1.25,17.3743
0.46,-20.1536,0.54,-20.1768,1.24,16.3462,1.24,16.98552,1.24,17.39126
0.47,-20.159,0.53,-20.1804,1.23,16.3618,1.23,17.00208,1.23,17.40927
0.48,-20.1614,0.52,-20.1904,1.22,16.37519,1.22,17.01527,1.22,17.42738
0.49,-20.1476,0.51,-20.2028,1.21,16.39043,1.21,17.04017,1.21,17.4459
0.5,-20.1348,0.5,-20.205,1.2,16.40501,1.2,17.04933,1.2,17.45288
0.51,-20.1322,0.49,-20.2008,1.19,16.41833,1.19,17.06463,1.19,17.47463
0.52,-20.1292,0.48,-20.1996,1.18,16.43018,1.18,17.0869,1.18,17.49108
0.53,-20.1248,0.47,-20.202,1.17,16.44444,1.17,17.09544,1.17,17.50367
0.54,-20.1138,0.46,-20.2072,1.16,16.4558,1.16,17.11331,1.16,17.5222
0.55,-20.1226,0.45,-20.219,1.15,16.46807,1.15,17.1352,1.15,17.53271
0.56,-20.1248,0.44,-20.2308,1.14,16.47995,1.14,17.14215,1.14,17.54864
0.57,-20.1262,0.43,-20.2252,1.13,16.49149,1.13,17.15695,1.13,17.55498
0.58,-20.1182,0.42,-20.2318,1.12,16.49817,1.12,17.1785,1.12,17.57956
0.59,-20.1218,0.41,-20.23,1.11,16.50899,1.11,17.18567,1.11,17.58777
0.6,-20.121,0.4,-20.2186,1.1,16.52063,1.1,17.20192,1.1,17.60516
0.61,-20.1144,0.39,-20.1996,1.09,16.5269,1.09,17.21993,1.09,17.62276
0.62,-20.1042,0.38,-20.2036,1.08,16.53751,1.08,17.22617,1.08,17.63264
0.63,-20.0898,0.37,-20.206,1.07,16.54098,1.07,17.24023,1.07,17.64524
0.64,-20.0848,0.36,-20.216,1.06,16.55041,1.06,17.26073,1.06,17.6572
0.65,-20.0724,0.35,-20.2428,1.05,16.56364,1.05,17.26823,1.05,17.67147
0.66,-20.0728,0.34,-20.244,1.04,16.56707,1.04,17.27937,1.04,17.68375
0.67,-20.057,0.33,-20.2416,1.03,16.57084,1.03,17.30215,1.03,17.69957
0.68,-20.0476,0.32,-20.2554,1.02,16.58279,1.02,17.30861,1.02,17.70498
